,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed
212,USED,2022,FORD,MAVERICK,XLT,38995,Blue,Navy Pier,All-wheel Drive,Gasoline,9509,"2348 US Highway 68 S Bellefontaine, OH 43311",2023-05-12
213,USED,2022,FORD,MAVERICK,LARIAT,36899,Shadow Black,Desert,Front-wheel Drive,Gasoline,2356,"2440 NW Highway 19 Crystal River, FL 34428",2023-05-12
214,USED,2022,FORD,MAVERICK,XL,30999,White,Black Onyx,All-wheel Drive,Gasoline,29810,"175 E Main St Norwich, NY 13815",2023-05-12
215,USED,2023,FORD,MAVERICK,XLT,35998,Blue,Gray,Front-wheel Drive,Gasoline,1432,"9550 Bluegrass Pkwy Louisville, KY 40299",2023-05-12
216,USED,2022,FORD,MAVERICK,LARIAT,42852,Hot Pepper Red Tinted Clearcoat Metallic,Desert Brown,All-wheel Drive,Gasoline,123,"33450 Lake Road Avon Lake, OH 44012",2023-05-12
217,CERTIFIED,2022,FORD,MAVERICK,LARIAT,40750,Shadow Black,Desert,All-wheel Drive,Gasoline,18647,"100 Oxmoor Lane Louisville, KY 40222",2023-05-12
218,USED,2022,FORD,MAVERICK,XL,40970,Blue,Desert,All-wheel Drive,Gasoline,4715,"4215 Liberty Avenue Vermilion, OH 44089",2023-05-12
219,CERTIFIED,2022,FORD,MAVERICK,LARIAT,39997,Iconic Silver Metallic,Desert,All-wheel Drive,Gasoline,15763,"2600 Access Rd NW Davenport, FL 33897",2023-05-12
220,USED,2022,FORD,MAVERICK,LARIAT,,Area 51,Desert,Front-wheel Drive,Hybrid,12375,"2600 Access Rd NW Davenport, FL 33897",2023-05-12
221,USED,2022,FORD,MAVERICK,LARIAT,42980,Area 51,Desert,All-wheel Drive,Gasoline,867,"809 S 5th St Louisville, KY 40203",2023-05-12
222,USED,2022,FORD,MAVERICK,XLT,35233,Oxford White,Black Onyx,All-wheel Drive,Gasoline,18034,"808 E Lewis and Clark Pkwy Clarksville, IN 47129",2023-05-12
223,USED,2022,FORD,MAVERICK,XL,34611,Blue,Navy Pier,All-wheel Drive,Gasoline,4299,"790 North Brindlee Mountain Pkwy Arab, AL 35016",2023-05-12
224,USED,2022,FORD,MAVERICK,LARIAT,42991,Shadow Black,Desert,All-wheel Drive,Gasoline,1495,"5201 Camp Rd Hamburg, NY 14075",2023-05-12
