,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed
0,USED,2023,FORD,MAVERICK,XLT,38988,Hot Pepper Red Tinted Clearcoat,Navy Pier,Front-wheel Drive,Hybrid,20,"4328 Louisburg Rd Raleigh, NC 27604",2023-05-12
1,USED,2022,FORD,MAVERICK,XLT,35895,Cactus Green / Gray,Navy Pier,All-wheel Drive,Gasoline,8378,"4900 Capital Blvd Raleigh, NC 27616",2023-05-12
2,USED,2023,FORD,MAVERICK,LARIAT,40873,Oxford White,Desert,All-wheel Drive,Gasoline,42,"4900 Capital Blvd Raleigh, NC 27616",2023-05-12
3,USED,2022,FORD,MAVERICK,XL,34091,Iconic Silver Metallic,Black Onyx,Front-wheel Drive,Hybrid,14911,"3940 Capital Hills Drive Raleigh, NC 27616",2023-05-12
4,USED,2022,FORD,MAVERICK,XLT,35497,Silver,Black Onyx,Front-wheel Drive,Gasoline,18425,"9820 Capital Blvd Wake Forest, NC 27587",2023-05-12
5,USED,2022,FORD,MAVERICK,XLT,36000,Area 51,Navy Pier,All-wheel Drive,Gasoline,2913,"11000 Capital Blvd Wake Forest, NC 27587",2023-05-12
6,USED,2022,FORD,MAVERICK,LARIAT,38989,Area 51,Desert,All-wheel Drive,Gasoline,8919,"109 Mackenan Blvd. Cary, NC 27511",2023-05-12
7,CERTIFIED,2022,FORD,MAVERICK,XLT,38695,CACTUS GREY,NAVY PIER -MED SLATE TRIM,–,–,3740,"1515 S Military Hwy Chesapeake, VA 23320",2023-05-12
8,USED,2022,FORD,MAVERICK,LARIAT,37787,Blue,Desert,All-wheel Drive,Gasoline,38298,"2717 Virginia Beach Blvd Virginia Beach, VA 23452",2023-05-12
9,USED,2023,FORD,MAVERICK,XLT,37900,Area 51,Navy Pier,Front-wheel Drive,Hybrid,167,"3990 W Highway 501 Conway, SC 29526",2023-05-12
10,USED,2023,FORD,MAVERICK,XLT,37773,Gray,Black Onyx,Front-wheel Drive,Hybrid,77,"105 Auto Park Dr Graham, NC 27253",2023-05-12
11,USED,2022,FORD,MAVERICK,XLT,35473,Carbonized Gray Metallic,Navy Pier/Medium Slate,Front-wheel Drive,Gasoline,4281,"602 Alamance Rd Burlington, NC 27215",2023-05-12
12,USED,2022,FORD,MAVERICK,XLT,37093,Oxford White,Navy Pier / Medium Slate,Front-wheel Drive,Gasoline,25921,"602 Alamance Rd Burlington, NC 27215",2023-05-12
13,USED,2022,FORD,MAVERICK,XLT,34998,Blue,Black,All-wheel Drive,Gasoline,1522,"901 Murray Olds Dr Midlothian, VA 23114",2023-05-12
14,USED,2022,FORD,MAVERICK,XLT,36604,Iconic Silver Metallic,Navy Pier,All-wheel Drive,Gasoline,33970,"912 S Van Buren Rd Eden, NC 27288",2023-05-12
15,USED,2022,FORD,MAVERICK,XLT,35998,Gray,Black,AWD,Gasoline,10249,"11090 W Broad St Glen Allen, VA 23060",2023-05-12
16,USED,2022,FORD,MAVERICK,LARIAT,39696,Shadow Black,Desert,All-wheel Drive,Gasoline,26,"96 Radio Dr Lexington, NC 27292",2023-05-12
17,USED,2023,FORD,MAVERICK,XLT,36900,White,Navy Pier,All-wheel Drive,Gasoline,381,"418 Piedmont Dr Lexington, NC 27295",2023-05-12
18,USED,2022,FORD,MAVERICK,XLT,36700,Area 51,Navy Pier,All-wheel Drive,Gasoline,10483,"418 Piedmont Dr Lexington, NC 27295",2023-05-12
19,CERTIFIED,2022,FORD,MAVERICK,XLT,34812,ALTO BLUE METALLIC TC,NAVY PIER -MED SLATE TRIM,–,–,6611,"1163 Wards Road, Suite A Altavista, VA 24517",2023-05-12
20,USED,2022,FORD,MAVERICK,XL,37599,Alto Blue Tinted Clearcoat Metallic,Black Onyx/Medium Dark Slate,All-wheel Drive,Gasoline,3016,"2600 Peters Creek Parkway Winston Salem, NC 27127",2023-05-12
21,CERTIFIED,2022,FORD,MAVERICK,XLT,38968,Chili Pepper Red,Navy Pier,All-wheel Drive,Gasoline,8838,"2104 Peters Creek Winston Salem, NC 27127",2023-05-12
22,CERTIFIED,2022,FORD,MAVERICK,XLT,34765,SHADOW BLACK,NAVY PIER -MED SLATE TRIM,–,–,3600,"2600 S Cannon Blvd Kannapolis, NC 28083",2023-05-12
23,USED,2022,FORD,MAVERICK,LARIAT,39999,Oxford White,Desert,All-wheel Drive,Gasoline,15000,"979 N U.S. 1 Lugoff, SC 29078",2023-05-12
24,USED,2023,FORD,MAVERICK,XLT,37492,Silver,Black,All-wheel Drive,Gasoline,5303,"13307 Statesville Rd Huntersville, NC 28078",2023-05-12
25,USED,2022,FORD,MAVERICK,XLT,35320,Velocity Blue Metallic,Navy Pier,Front-wheel Drive,Hybrid,5462,"13825 Statesville Rd Huntersville, NC 28078",2023-05-12
26,USED,2023,FORD,MAVERICK,XLT,35997,Blue,Navy Pier,Front-wheel Drive,Hybrid,3085,"1016 N Main St Summerville, SC 29483",2023-05-12
27,USED,2023,FORD,MAVERICK,XLT,36988,Oxford White,–,Front-wheel Drive,Gasoline,130,"2283 Savannah Hwy Charleston, SC 29414",2023-05-12
28,USED,2022,FORD,MAVERICK,XL,35900,Area 51,Black Onyx,Front-wheel Drive,Gasoline,5354,"617 N Main St Belmont, NC 28012",2023-05-12
29,USED,2022,FORD,MAVERICK,LARIAT,43700,Area 51,Desert,Front-wheel Drive,Hybrid,7683,"617 N Main St Belmont, NC 28012",2023-05-12
